Date,District,Estate,Price,Unit Address,Floor,Block,Room,Area
2021/12/24,Aberdeen,Yue Fai Court,0.9,BLOCK C 1#/F Room 1,1,BLOCK C,1,502
2021/12/24,Sheung Wan,Kingearn Building,6.08,1#/F Room B,1,,B,521
2021/12/24,Quarry Bay,Westlands Gardens,13.8,BLOCK B 1#/F Room 1,1,BLOCK B,1,980
2021/12/24,Shaukeiwan,Tung Fai Building,5.8,1#/F Room D,1,,D,420
2021/12/24,Western mid-levels,SceneCliff,14.35,BLOCK 1 3#/F Room D,3,BLOCK 1,D,694
2021/12/24,North Point,Ming Court,6.3,9/F Room A,9,,A,563
2021/12/24,Ap Lei Chau,Yue On Court,6.6,BLOCK B 6/F Room 5,6,BLOCK B,5,604
2021/12/24,Western mid-levels,Beaudry Tower,12,3#/F Room A,3,,A,836
2021/12/24,Causeway Bay,Tak Fai Building,7.6,5/F Room A,5,,A,586
2021/12/24,Wan Chai,Mountain View Mansion,5.2,1#/F Room C,1,,C,342
2021/12/24,Sai Ying Pun,Two．Artlane,7.06,1#/F Room B,1,,B,254
2021/12/24,North Point,La Place De Victoria,9.98,2#/F Room D,2,,D,586
2021/12/24,Quarry Bay,Wah Shun Gardens,11,2#/F Room E,2,,E,768
2021/12/24,Kennedy Town,The Belcher's,34.5,TOWER 5 6#/F Room H,6,TOWER 5,H,1409
2021/12/24,Causeway Bay,Elizabeth House,14,BLOCK C 2#/F Room C3,2,BLOCK C,C3,802
2021/12/24,Taikoo Shing,TaiKoo Shing,15.6,KING TIEN 1#/F Room D,1,KING TIEN,D,831
2021/12/24,Sai Ying Pun,Two．Artlane,7.04,1#/F Room B,1,,B,254
2021/12/24,Heng Fa Chuen,Heng Fa Chuen,10.2,BLOCK 24 1#/F Room 1,1,BLOCK 24,1,739
2021/12/24,Aberdeen,Aberdeen Centre,6.7,BLOCK F 5/F Room 1,5,BLOCK F,1,551
2021/12/24,Kennedy Town,DragonFair Garden,1.59,BLOCK 1 3#/F Room D,3,BLOCK 1,D,650
2021/12/24,Sheung Wan,Queen's Terrace,10.58,TOWER 3 1#/F Room B,1,TOWER 3,B,717
2021/12/24,Quarry Bay,WestLands Court,7.5,TSUI LAN MANSION 2#/F Room B,2,TSUI LAN MANSION,B,506
2021/12/24,Sheung Wan,Midland Centre,7,BLOCK B 2#/F Room 7,2,BLOCK B,7,478
2021/12/24,Heng Fa Chuen,Heng Fa Chuen,8.41,BLOCK 36 1#/F Room 7,1,BLOCK 36,7,598
2021/12/24,Sai Ying Pun,Island Crest,21.2,TOWER 1 2#/F Room A,2,TOWER 1,A,1186
2021/12/24,Kennedy Town,Hee Wong Terrace,6.85,BLOCK 7 1/F Room D,1,BLOCK 7,D,500
2021/12/24,Kennedy Town,The Sail at Victoria,12,2#/F Room A,2,,A,714
2021/12/24,Sheung Wan,Queen's Terrace,8.57,TOWER 1 2#/F Room E,2,TOWER 1,E,564
2021/12/24,Heng Fa Chuen,Heng Fa Chuen,7.5,BLOCK 15 1#/F Room 1,1,BLOCK 15,1,583
2021/12/24,Fortress Hill,Hang Ying House,5.07,1#/F Room 1,1,,1,500
2021/12/24,Happy Valley,Happy Court,6.78,2#/F Room A,2,,A,530
2021/12/24,North Point,Ka Wai Building,4.8,BLOCK A 1#/F Room A1,1,BLOCK A,A1,365
2021/12/24,Chai Wan,Harmony Garden,5.8,BLOCK 2 2#/F Room C,2,BLOCK 2,C,693
2021/12/24,Ap Lei Chau,The Upper South,6.38,9/F Room A,9,,A,242
2021/12/24,Causeway Bay,Elizabeth House,11.6,BLOCK C 1#/F Room C4,1,BLOCK C,C4,802
2021/12/24,Baguio Villa,Baguio Villa,17.8,BLOCK 19 1#/F Room A,1,BLOCK 19,A,1020
2021/12/24,Taikoo Shing,TaiKoo Shing,22.38,TUNG HOI 2#/F Room B,2,TUNG HOI,B,835
2021/12/24,Kennedy Town,Hee Wong Terrace,6,BLOCK 8 3/F Room C,3,BLOCK 8,C,518
2021/12/23,North Point Mid,Kingsfield Garden,18.8,2/F Room C,2,,C,1175
2021/12/23,Causeway Bay,yoo Residence,11.7,2#/F Room C,2,,C,732
2021/12/23,Taikoo Shing,TaiKoo Shing,12,WAH SHAN 2#/F Room H,2,WAH SHAN,H,788
2021/12/23,Taikoo Shing,TaiKoo Shing,15,PAK HOI 1#/F Room E,1,PAK HOI,E,825
2021/12/23,Wan Chai,Man On House,7.1,BLOCK B 7/F Room 1,7,BLOCK B,1,579
2021/12/23,Sheung Wan,Hang Cheong Tai Building,4.85,2#/F Room B,2,,B,546
2021/12/23,Southern District,Sham Wan Towers,12.48,TOWER 3 4#/F Room A,4,TOWER 3,A,655
2021/12/23,Shaukeiwan,Tung Tao Court,8.28,BLOCK D 2#/F Room 5,2,BLOCK D,5,952
2021/12/23,Western mid-levels,Park Height,9.42,6/F Room B,6,,B,641
2021/12/23,Wan Chai,Lee Loy Building,3.9,2#/F Room D,2,,D,302
2021/12/23,Sai Ying Pun,Yuet Sum Mansion,6,6/F Room 2A,6,,2A,546
2021/12/23,Kennedy Town,Smithfield Terrace,4.48,BLOCK A 9/F Room A5,9,BLOCK A,A5,297
2021/12/23,Western mid-levels,Blessings Garden,21.8,PHASE 2 2#/F Room C,2,PHASE 2,C,1063
2021/12/23,Kennedy Town,Jade Court,5.96,BLOCK B 2/F Room 5,2,BLOCK B,5,468
2021/12/23,Kennedy Town,Mount Davis,21.68,3#/F Room A,3,,A,1090
2021/12/23,Shaukeiwan,Island Garden,29.5,TOWER 3 2#/F Room A,2,TOWER 3,A,1175
2021/12/23,South Horizons,South Horizons,10.38,TOWER 18 3/F Room F,3,TOWER 18,F,794
2021/12/23,Sai Ying Pun,High West,9.98,3#/F Room B,3,,B,670
2021/12/23,Southern District,Residence Bel-Air,74.8,BEL-AIR ON THE PEAK TOWER 5 3#/F Room B,3,BEL-AIR ON THE PEAK TOWER 5,B,2463
2021/12/23,Kennedy Town,Hoi Tao Building,4.59,BLOCK C 3/F Room 1,3,BLOCK C,1,800
2021/12/23,Sai Ying Pun,Two．Artlane,7.16,1#/F Room B,1,,B,254
2021/12/23,Sai Ying Pun,Two．Artlane,7.61,2#/F Room D,2,,D,250
2021/12/23,Sai Ying Pun,Two．Artlane,7.13,1#/F Room C,1,,C,253
2021/12/23,Kennedy Town,The Belcher's,25,TOWER 5 2#/F Room C,2,TOWER 5,C,1339
2021/12/23,Sheung Wan,Elite's Place,13,2#/F Room B,2,,B,893
2021/12/23,Taikoo Shing,TaiKoo Shing,3.4,KAM SHAN 6/F Room D,6,KAM SHAN,D,691
2021/12/23,Kennedy Town,May Sun Building,5,1#/F Room I,1,,I,580
2021/12/23,Kennedy Town,Lungga Mansion,4.1,9/F Room A1,9,,A1,380
2021/12/23,Shaukeiwan,Felicity Garden,10.68,BLOCK 3 2#/F Room H,2,BLOCK 3,H,867
2021/12/22,Chai Wan,Greenwood Terrace,6.41,TOWER 5 2#/F Room A,2,TOWER 5,A,620
2021/12/22,Chai Wan,Shan Tsui Court,5.2,BLOCK B 9/F Room 3,9,BLOCK B,3,474
2021/12/22,Wan Chai,Lucky House,5.8,4/F Room B,4,,B,505
2021/12/22,Shaukeiwan,iUniQ Residence,7.68,7/F Room E,7,,E,622
2021/12/22,Wan Chai,One Wanchai,22.8,3#/F Room G,3,,G,1176
2021/12/22,South Horizons,South Horizons,9.2,TOWER 31 2#/F Room A,2,TOWER 31,A,659
2021/12/22,Chai Wan,Harmony Garden,5.7,BLOCK 2 1#/F Room C,1,BLOCK 2,C,693
2021/12/22,Quarry Bay,Nan Fung Sun Chuen,6.33,BLOCK NO.8 6/F Room B,6,BLOCK NO.8,B,474
2021/12/22,Kennedy Town,One South Lane,5.8,2#/F Room 05,2,,5,213
2021/12/22,Causeway Bay,Pearl City Mansion,8,3#/F Room C1,3,,C1,550
2021/12/22,Repulse Bay,Manhattan Tower,90,1#/F Room B,1,,B,2243
2021/12/22,Quarry Bay,The Floridian,17.5,TOWER 2 1#/F Room B,1,TOWER 2,B,1046
2021/12/22,Wan Chai,Yen Ying Building,3.48,2#/F Room B,2,,B,273
2021/12/22,Southern District,Residence Bel-Air,16.5,TOWER 1 4#/F Room C,4,TOWER 1,C,776
2021/12/22,Shaukeiwan,Belleve Court,5.07,BLOCK A 1#/F Room 6,1,BLOCK A,6,388
2021/12/22,Shek Tong Tsui,Chong Yip Centre,6.7,BLOCK C 2#/F Room F,2,BLOCK C,F,459
2021/12/22,Aberdeen,South Coast,6,2#/F Room B,2,,B,255
2021/12/22,Sai Wan Ho,Lei King Wan,11.88,SITE A KWUN FUNG MANSION 1/F Room B,1,SITE A KWUN FUNG MANSION,B,766
2021/12/22,North Point,Wing Shun Mansion,6.35,2/F Room A,2,,A,570
2021/12/22,Taikoo Shing,TaiKoo Shing,15,KAI TIEN 6/F Room B,6,KAI TIEN,B,902
2021/12/22,Quarry Bay,Tak Fat Building,4.38,5/F Room C,5,,C,374
2021/12/22,Tai Hang,The Legend,25.15,TOWER V 4#/F Room A,4,TOWER V,A,1170
2021/12/22,Shaukeiwan,Hong Wah Mansion,4.58,BLOCK 1 4/F Room E,4,BLOCK 1,E,334
2021/12/22,Kennedy Town,Jade Court,5.18,BLOCK B 2/F Room 6,2,BLOCK B,6,373
2021/12/22,Western mid-levels,Conduit Road 39,308,6#/F Room A,6,,A,6158
2021/12/22,Sai Ying Pun,Two．Artlane,6.75,1#/F Room J,1,,J,244
2021/12/22,Sai Ying Pun,Kensington Mansion,4.46,1#/F Room B,1,,B,335
2021/12/22,Sai Ying Pun,Two．Artlane,6.84,9/F Room B,9,,B,254
2021/12/22,Quarry Bay,Kornville,8,TOWER 1 5/F Room E,5,TOWER 1,E,675
2021/12/22,Western mid-levels,Glenealy Building,7.5,5/F Room B,5,,B,567
2021/12/22,Southern District,Residence Bel-Air,19.2,"BEL-AIR NO.8, BEL-AIR ON THE PEAK TOWER 1 2#/F Room D",2,"BEL-AIR NO.8, BEL-AIR ON THE PEAK TOWER 1",D,1053
2021/12/21,Quarry Bay,Kornhill Garden,8.2,BLOCK 1 2#/F Room D,2,BLOCK 1,D,587
2021/12/21,Kennedy Town,Cayman Rise,13.5,BLOCK 2 2#/F Room D,2,BLOCK 2,D,804
2021/12/21,Quarry Bay,Kornhill,17.25,BLOCK J 1#/F Room 13,1,BLOCK J,13,1056
2021/12/21,North Point,Kar Wan Building,2.38,2#/F Room C,2,,C,168
2021/12/21,Sai Ying Pun,Bohemian House,11,1#/F Room H,1,,H,460
2021/12/21,Heng Fa Chuen,Heng Fa Chuen,8.14,BLOCK 4 1#/F Room 6,1,BLOCK 4,6,556
2021/12/21,Chai Wan,New Jade Garden,7.38,BLOCK 4 1/F Room D,1,BLOCK 4,D,615
2021/12/21,Chai Wan,Island Resort,16.15,TOWER 9 4#/F Room B,4,TOWER 9,B,1203
2021/12/21,Chai Wan,Koway Court,7,BLOCK 1 1#/F Room F,1,BLOCK 1,F,620
2021/12/21,Sai Ying Pun,Wing Cheung Building,5.5,1#/F Room A,1,,A,367
2021/12/21,Taikoo Shing,TaiKoo Shing,7.25,NAN SHAN 1#/F Room C,1,NAN SHAN,C,675
2021/12/21,Pok Fu Lam,Chi Fu Fa Yuen,8.5,BLOCK H-19 2#/F Room B,2,BLOCK H-19,B,694
2021/12/21,Heng Fa Chuen,Heng Fa Chuen,8.21,BLOCK 2 1#/F Room 5,1,BLOCK 2,5,583
2021/12/21,Taikoo Shing,TaiKoo Shing,13.28,PO SHAN 1#/F Room G,1,PO SHAN,G,784
2021/12/21,Quarry Bay,Yick Fat Building,4.03,1#/F Room 6,1,,6,450
2021/12/21,Shaukeiwan,Tung Chun Court,4.6,KAM CHUN HOUSE--BLOCK A 2#/F Room 5,2,KAM CHUN HOUSE--BLOCK A,5,737
2021/12/21,Kennedy Town,The Belcher's,29.8,TOWER 5 5#/F Room F,5,TOWER 5,F,1398
2021/12/21,Sai Wan Ho,Hoi Lee Building,3.6,1#/F Room A,1,,A,348
2021/12/21,Aberdeen,Yue Fai Court,5.7,BLOCK D 4/F Room 4,4,BLOCK D,4,502
2021/12/21,North Point,Kiu Kwan Mansion,4.38,BLOCK B 8/F Room 7,8,BLOCK B,7,615
2021/12/21,North Point,Harbour Heights,10.2,NAM FUNG COURT 3#/F Room E,3,NAM FUNG COURT,E,719
2021/12/21,Tai Tam,The Redhill Peninsula,84.8,NO.62 PALM DRIVE,,NO.62 PALM,DRIVE,3164
2021/12/21,Sai Wan Ho,Tai On Building,4.15,2#/F Room 39,2,,39,465
2021/12/21,Sai Ying Pun,Two．Artlane,10.07,9/F Room A,9,,A,381
2021/12/21,Sai Ying Pun,Two．Artlane,6.96,1#/F Room D,1,,D,250
2021/12/21,Sai Ying Pun,Two．Artlane,7.29,1#/F Room C,1,,C,253
2021/12/21,Sai Ying Pun,Two．Artlane,6.1,1#/F Room K,1,,K,196
2021/12/21,Sai Ying Pun,Two．Artlane,10.51,1#/F Room A,1,,A,381
2021/12/21,Sai Ying Pun,Two．Artlane,6.09,1#/F Room H,1,,H,214
2021/12/21,Sai Ying Pun,Two．Artlane,10.01,1#/F Room A,1,,A,381
2021/12/21,Sai Ying Pun,Two．Artlane,7.09,1#/F Room E,1,,E,252
2021/12/21,North Point,Ming Yuet Building,3.84,4/F Room B,4,,B,317
2021/12/21,Taikoo Shing,TaiKoo Shing,17.9,PRIMROSE 6/F Room E,6,PRIMROSE,E,1029
2021/12/20,Chai Wan,FullView Garden,4.1,BLOCK 2 1#/F Room J,1,BLOCK 2,J,579
2021/12/20,Sai Ying Pun,Wing Cheung Building,5.8,2#/F Room B,2,,B,362
2021/12/20,Stanley,Lung Yan Court,6.7,BLOCK A 5/F Room 9,5,BLOCK A,9,785
2021/12/20,Ap Lei Chau,Marina Habitat,10,TOWER 3 3#/F Room A,3,TOWER 3,A,803
2021/12/20,Chai Wan,Lok Hin Terrace,5.43,BLOCK 1 2#/F Room B,2,BLOCK 1,B,692
