Date,District,Estate,Price,Unit Address,Floor,Block,Room,Area,x,y
28/12/2021,Sai Ying Pun,Two Artlane,6.84,1#/F Room E,1,,E,252,832608,816499
28/12/2021,Sai Ying Pun,Two Artlane,7.68,9/F Room F,9,,F,282,832608,816499
28/12/2021,ParkView,Hong Kong ParkView,30,PARKVIEW COURT TOWER 3 2#/F Room 21,2,PARKVIEW COURT TOWER 3,21,1304,815624,828943
28/12/2021,Sai Ying Pun,Two Artlane,7.16,1#/F Room D,1,,D,250,832608,816499
28/12/2021,Sai Ying Pun,Two Artlane,7.23,1#/F Room C,1,,C,253,832608,816499
28/12/2021,Quarry Bay,Kornhill Garden,7.17,BLOCK 5 7/F Room G,7,BLOCK 5,G,717,840327,816303
24/12/2021,Aberdeen,Yue Fai Court,0.9,BLOCK C 1#/F Room 1,1,BLOCK C,1,502,834193,812381
24/12/2021,Sheung Wan,Kingearn Building,6.08,1#/F Room B,1,,B,521,833724,816028
24/12/2021,Quarry Bay,Westlands Gardens,13.8,BLOCK B 1#/F Room 1,1,BLOCK B,1,980,839965,816248
24/12/2021,Shaukeiwan,Tung Fai Building,5.8,1#/F Room D,1,,D,420,841768,815414
24/12/2021,Western mid-levels,SceneCliff,14.35,BLOCK 1 3#/F Room D,3,BLOCK 1,D,694,833349,815725
24/12/2021,North Point,Ming Court,6.3,9/F Room A,9,,A,563,837069,814376
24/12/2021,Ap Lei Chau,Yue On Court,6.6,BLOCK B 6/F Room 5,6,BLOCK B,5,604,834213,811562
24/12/2021,Western mid-levels,Beaudry Tower,12,3#/F Room A,3,,A,836,833062,816193
24/12/2021,Causeway Bay,Tak Fai Building,7.6,5/F Room A,5,,A,586,836804,815764
24/12/2021,Wan Chai,Mountain View Mansion,5.2,1#/F Room C,1,,C,342,835730,815176
24/12/2021,Sai Ying Pun,Two Artlane,7.06,1#/F Room B,1,,B,254,832608,816499
24/12/2021,North Point,La Place De Victoria,9.98,2#/F Room D,2,,D,586,839226,816987
24/12/2021,Quarry Bay,Wah Shun Gardens,11,2#/F Room E,2,,E,768,839682,816520
24/12/2021,Kennedy Town,The Belcher's,34.5,TOWER 5 6#/F Room H,6,TOWER 5,H,1409,831810,816232
24/12/2021,Causeway Bay,Elizabeth House,14,BLOCK C 2#/F Room C3,2,BLOCK C,C3,802,836731,815770
24/12/2021,Taikoo Shing,TaiKoo Shing,15.6,KING TIEN 1#/F Room D,1,KING TIEN,D,831,840378,816386
24/12/2021,Sai Ying Pun,Two Artlane,7.04,1#/F Room B,1,,B,254,832608,816499
24/12/2021,Heng Fa Chuen,Heng Fa Chuen,10.2,BLOCK 24 1#/F Room 1,1,BLOCK 24,1,739,842797,815516
24/12/2021,Aberdeen,Aberdeen Centre,6.7,BLOCK F 5/F Room 1,5,BLOCK F,1,551,833925,812194
24/12/2021,Kennedy Town,DragonFair Garden,1.59,BLOCK 1 3#/F Room D,3,BLOCK 1,D,650,831923,816388
24/12/2021,Sheung Wan,Queen's Terrace,10.58,TOWER 3 1#/F Room B,1,TOWER 3,B,717,833257,816463
24/12/2021,Quarry Bay,WestLands Court,7.5,TSUI LAN MANSION 2#/F Room B,2,TSUI LAN MANSION,B,506,839955,816326
24/12/2021,Sheung Wan,Midland Centre,7,BLOCK B 2#/F Room 7,2,BLOCK B,7,478,833498,816256
24/12/2021,Heng Fa Chuen,Heng Fa Chuen,8.41,BLOCK 36 1#/F Room 7,1,BLOCK 36,7,598,842761,815444
24/12/2021,Sai Ying Pun,Island Crest,21.2,TOWER 1 2#/F Room A,2,TOWER 1,A,1186,832794,816384
24/12/2021,Kennedy Town,Hee Wong Terrace,6.85,BLOCK 7 1/F Room D,1,BLOCK 7,D,500,831525,815977
24/12/2021,Kennedy Town,The Sail at Victoria,12,2#/F Room A,2,,A,714,830447,815805
24/12/2021,Sheung Wan,Queen's Terrace,8.57,TOWER 1 2#/F Room E,2,TOWER 1,E,564,833196,816480
24/12/2021,Heng Fa Chuen,Heng Fa Chuen,7.5,BLOCK 15 1#/F Room 1,1,BLOCK 15,1,583,842501,815476
24/12/2021,Fortress Hill,Hang Ying House,5.07,1#/F Room 1,1,,1,500,835536,819202
24/12/2021,Happy Valley,Happy Court,6.78,2#/F Room A,2,,A,530,836367,820091
24/12/2021,North Point,Ka Wai Building,4.8,BLOCK A 1#/F Room A1,1,BLOCK A,A1,365,838779,817051
24/12/2021,Chai Wan,Harmony Garden,5.8,BLOCK 2 2#/F Room C,2,BLOCK 2,C,693,843695,814134
24/12/2021,Ap Lei Chau,The Upper South,6.38,9/F Room A,9,,A,242,835183.9,815413.2
24/12/2021,Causeway Bay,Elizabeth House,11.6,BLOCK C 1#/F Room C4,1,BLOCK C,C4,802,836731,815770
24/12/2021,Baguio Villa,Baguio Villa,17.8,BLOCK 19 1#/F Room A,1,BLOCK 19,A,1020,831716,813797
24/12/2021,Taikoo Shing,TaiKoo Shing,22.38,TUNG HOI 2#/F Room B,2,TUNG HOI,B,835,840774,816382
24/12/2021,Kennedy Town,Hee Wong Terrace,6,BLOCK 8 3/F Room C,3,BLOCK 8,C,518,831537,815988
23/12/2021,North Point Mid,Kingsfield Garden,18.8,2/F Room C,2,,C,1175,838009,816444
23/12/2021,Causeway Bay,yoo Residence,11.7,2#/F Room C,2,,C,732,837510,815560
23/12/2021,Taikoo Shing,TaiKoo Shing,12,WAH SHAN 2#/F Room H,2,WAH SHAN,H,788,840652,816349
23/12/2021,Taikoo Shing,TaiKoo Shing,15,PAK HOI 1#/F Room E,1,PAK HOI,E,825,840096,816482
23/12/2021,Wan Chai,Man On House,7.1,BLOCK B 7/F Room 1,7,BLOCK B,1,579,836251,815324
23/12/2021,Sheung Wan,Hang Cheong Tai Building,4.85,2#/F Room B,2,,B,546,833114,816470
23/12/2021,Southern District,Sham Wan Towers,12.48,TOWER 3 4#/F Room A,4,TOWER 3,A,655,834436,811695
23/12/2021,Shaukeiwan,Tung Tao Court,8.28,BLOCK D 2#/F Room 5,2,BLOCK D,5,952,841225,815869
23/12/2021,Western mid-levels,Park Height,9.42,6/F Room B,6,,B,641,832800,816148
23/12/2021,Wan Chai,Lee Loy Building,3.9,2#/F Room D,2,,D,302,836145,815555
23/12/2021,Sai Ying Pun,Yuet Sum Mansion,6,6/F Room 2A,6,,2A,546,832564,816603
23/12/2021,Kennedy Town,Smithfield Terrace,4.48,BLOCK A 9/F Room A5,9,BLOCK A,A5,297,831338,815698
23/12/2021,Western mid-levels,Blessings Garden,21.8,PHASE 2 2#/F Room C,2,PHASE 2,C,1063,833303,815817
23/12/2021,Kennedy Town,Jade Court,5.96,BLOCK B 2/F Room 5,2,BLOCK B,5,468,836813,822645
23/12/2021,Kennedy Town,Mount Davis,21.68,3#/F Room A,3,,A,1090,830908,815343
23/12/2021,Shaukeiwan,Island Garden,29.5,TOWER 3 2#/F Room A,2,TOWER 3,A,1175,841908,815031
23/12/2021,South Horizons,South Horizons,10.38,TOWER 18 3/F Room F,3,TOWER 18,F,794,833205,811583
23/12/2021,Sai Ying Pun,High West,9.98,3#/F Room B,3,,B,670,832085,814815
23/12/2021,Southern District,Residence Bel-Air,74.8,BEL-AIR ON THE PEAK TOWER 5 3#/F Room B,3,BEL-AIR ON THE PEAK TOWER 5,B,2463,831692,812713
23/12/2021,Kennedy Town,Hoi Tao Building,4.59,BLOCK C 3/F Room 1,3,BLOCK C,1,800,831603,816189
23/12/2021,Sai Ying Pun,Two Artlane,7.16,1#/F Room B,1,,B,254,832608,816499
23/12/2021,Sai Ying Pun,Two Artlane,7.61,2#/F Room D,2,,D,250,832608,816499
23/12/2021,Sai Ying Pun,Two Artlane,7.13,1#/F Room C,1,,C,253,832608,816499
23/12/2021,Kennedy Town,The Belcher's,25,TOWER 5 2#/F Room C,2,TOWER 5,C,1339,831810,816232
23/12/2021,Sheung Wan,Elite's Place,13,2#/F Room B,2,,B,893,833034,816493
23/12/2021,Taikoo Shing,TaiKoo Shing,3.4,KAM SHAN 6/F Room D,6,KAM SHAN,D,691,840727,816260
23/12/2021,Kennedy Town,May Sun Building,5,1#/F Room I,1,,I,580,831217,816082
23/12/2021,Kennedy Town,Lungga Mansion,4.1,9/F Room A1,9,,A1,380,831372,815982
23/12/2021,Shaukeiwan,Felicity Garden,10.68,BLOCK 3 2#/F Room H,2,BLOCK 3,H,867,840999,815941
